Henry VI Part 1	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/shakespeare/henry6pt1/
Richard III	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/shakespeare/richardiii/
Titus Andronicus	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/shakespeare/titus/
Julius Caesar	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/shakespeare/juliuscaesar/
Love's Labours Lost	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/shakespeare/labours/
The Two Gentlemen of Verona	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/shakespeare/twogentlemen/
Pygmalion	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/lit/pygmalion/
Twelfth Night	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/shakespeare/twelfthnight/
The Merry Wives of Windsor	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/shakespeare/merrywives/
An Enemy of the People	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/lit/enemyofthepeople/
Measure for Measure	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/shakespeare/measure/
Alice in Wonderland	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/lit/alice/
White Fang	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/lit/fang/
Romeo and Juliet	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/shakespeare/romeojuliet/
The Merchant of Venice	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/shakespeare/merchant/
All's Well That Ends Well	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/shakespeare/allswell/
Major Barbara	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/drama/majorbarbara/
The Jew of Malta	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/drama/jewofmalta/
An Ideal Husband	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/drama/idealhusband/
The Three Musketeers	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/lit/3musk/
Cyrano de Bergerac	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/lit/cyrano/
The Winter's Tale	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/shakespeare/winterstale/
King Lear	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/shakespeare/lear/
Bleak House	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/lit/bleakhouse/
The Adventures of Huckleberry Finn	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/lit/huckfinn/
Anthem	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/lit/anthem/
Ethan Frome	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/lit/frome/
The Jungle	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/lit/jungle/
The Age of Innocence	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/lit/ageofinnocence/
Timon of Athens	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/shakespeare/timonofathens/
Much Ado About Nothing	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/shakespeare/muchado/
